id,price,log_price,price_per_person,room_type,property_type,accommodates,bedrooms,beds,bathrooms,n_reviews,review_scores_rating,host_is_superhost,availability_365,minimum_nights,period,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
856998,386.0,5.955837369464831,42.888888888888886,Entire home/apt,Entire cabin,9,3.0,6.0,4.0,62,4.92,1.0,283,2,december,Rabbi,22150,9219.43383376414,21474.42781393676,9450.042114625636,11604.154854301594,89.33108297964603,1365.8269101934825,5588.027929857724,431.20367555431517,1606.8761258991897,5654.165855327477,12389.345077701257,8068.325993885624,46.41644,10.77616
2593513,193.0,5.262690188904886,32.166666666666664,Entire home/apt,Entire rental unit,6,3.0,0.0,1.0,2,4.0,0.0,80,3,december,Mezzana,22114,2.6864079106182666,11430.201056156066,1677.2549355676604,1217.771306568899,20.830410938203894,2164.17369876605,129.95887647882407,121.85590197751196,321.4498627699988,257.1523048503046,5616.551276536784,6801.25777139126,46.30447,10.81041
2613779,150.0,5.0106352940962555,37.5,Entire home/apt,Entire rental unit,4,2.0,3.0,1.0,1,5.0,0.0,142,6,december,Folgaria,22087,628.7655188267029,6969.888204508075,972.3145348894732,7060.828589127028,103.93773947634467,2026.9281384865972,1159.6398401164197,930.83788965453,1025.6009214828423,1108.8651565890127,5713.424611992045,3093.4601310734315,45.90501,11.17367
2621845,214.0,5.365976015021851,42.8,Entire home/apt,Entire condo,5,1.0,3.0,1.0,13,5.0,1.0,23,6,december,Malé,22110,6199.297285902533,10309.880629871783,640.9431795054325,1170.2692602436503,267.836564543791,1279.917467755181,559.1289283694857,615.2414051396004,557.8171711529757,765.6517865912689,3699.062494813452,966.3798171385794,46.35099,10.90235
2773830,82.0,4.406719247264253,27.333333333333332,Private room,Private room in bed and breakfast,3,1.0,3.0,1.0,26,4.62,0.0,205,4,december,Riva del Garda,22153,12746.931287836142,407.66402921772544,162.2474832513322,489.4945519716778,52.53811039954156,1459.3782878341212,50.61845625253799,96.75607012369144,22.542134054908562,286.2055500627904,437.4634166089584,405.0003933275481,45.88831,10.84004
2802560,250.0,5.521460917862246,83.33333333333333,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,64,4.8,0.0,0,4,december,Riva del Garda,22153,13145.99736538333,1354.2613376650354,349.4376164612155,1620.2451140770056,40.57595849954633,2381.2343274194404,91.45351841381901,181.51812711113172,164.39362291069077,93.41804234574583,1390.1357595181723,1408.5802666560642,45.89583,10.85042
2819565,159.0,5.0689042022202315,22.714285714285715,Entire home/apt,Entire condo,7,2.0,6.0,2.0,23,4.7,0.0,61,2,december,Andalo,22005,596.8917172753391,3842.2914630662412,2020.5631221839626,7671.957968344669,237.03636601408564,870.2586749786295,154.74362816311185,286.7120192585167,244.1145531430734,495.87293234211927,5021.578679884869,6835.221467429776,46.1679,11.00102
2863065,559.0,6.326149473155099,55.9,Entire home/apt,Entire rental unit,10,4.0,5.0,4.0,84,4.9,1.0,63,3,december,Tesero,22196,3143.6728332772145,16075.831756685862,1343.7692307614054,27709.378313921803,473.7482148264389,1905.0658865618793,1308.230736391639,546.3957184001963,1266.590880413763,3400.7556124482912,23228.501668114448,1895.7963565096538,46.30035,11.50398
874478,240.0,5.480638923341991,40.0,Entire home/apt,Entire chalet,6,3.0,4.0,2.0,106,4.9,1.0,212,4,december,San Giovanni di Fassa-Sèn Jan,22250,826.2958204178602,31167.385508950778,2295.1886688070063,46127.056215084725,690.0554044647545,2793.343199460869,1345.0946496408849,709.1849636688758,1304.6521887062963,1909.7002233671103,31398.57860188032,2860.203576462218,46.44746,11.69179
946214,231.0,5.442417710521793,57.75,Entire home/apt,Entire rental unit,4,2.0,3.0,1.5,45,4.62,0.0,37,7,december,Campitello di Fassa,22036,426.71196743387173,35209.09877796291,1323.5703467641915,50353.05223087888,20.65931994239069,2775.4956550339243,41.78895762613657,54.16848912240643,97.19025939676322,124.85781304347434,33089.010318436136,199.21563001618833,46.47606,11.74077
