id,price,log_price,price_per_person,room_type,accommodates,n_reviews,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
1478174157185705008,39.0,3.6635616461296463,19.5,Private room,2,1,Ronzo-Chienis,22135,11911.495513883889,325.0729821957178,13.852513541500462,5204.002195684497,106.86585971879488,1036.6336447095377,135.02487030568776,356.04984137142367,609.6760945408428,153.36694811471227,3129.6587420872215,4524.229390537422,45.89084,10.95043
1478331599322366315,170.0,5.135798437050262,34.0,Entire home/apt,5,0,Moena,22118,2284.3444660013947,1384.2867395444346,385.43389206666853,21338.719417626646,104.47659910129744,3757.980060410493,543.6251645808803,317.98822441835733,476.69718438024086,489.9113267953357,19365.205362556393,190.5627096425439,46.3720418,11.6586426
1478368623729807085,150.0,5.0106352940962555,30.0,Entire home/apt,5,0,Moena,22118,2314.841405752356,1341.8307907044878,334.0548129903613,21295.161681903246,55.966712752784886,3789.1298801385224,500.8357178005625,266.7346738635093,433.62356301016985,451.7551032231483,19313.561561059872,140.17732563179268,46.37249689001183,11.65838174521923
1478730528590335346,55.0,4.007333185232471,13.75,Entire home/apt,4,2,Croviana,22068,6006.70372615442,407.4541428035111,585.6671754571282,1170.1767976041413,200.50623639036596,1694.1783154681257,292.75084417938325,363.9091783838981,491.8442056960201,792.0003896407125,3720.39219838936,853.7492597925537,46.346435915261104,10.905922139842636
1478768684007811721,105.0,4.653960350157523,26.25,Private room,4,0,Ziano di Fiemme,22226,5128.660120582686,0.0,673.3005397936704,21612.491894459832,399.34423789373517,2713.872183753952,191.8188081023016,2347.3408145192516,253.06686676766,4699.770532778101,19747.149746233077,4782.481517556158,46.28481,11.55536
1478819213587774737,98.0,4.584967478670572,24.5,Entire home/apt,4,1,Pomarolo,22144,4194.409129639448,100.25099250731608,896.6107280992413,3392.4493016573624,104.24201945774838,1691.1751751794984,705.0920673902568,979.4743689290577,856.2488781372851,894.6705964193228,580.7186477894857,2156.453160491809,45.92594197136633,11.054243317335514
1478903593648832559,231.0,5.442417710521793,115.5,Private room,2,0,Ledro,22229,15901.725625368093,23.9349453945435,1026.8046207894704,7228.6630738834465,838.4395362384142,2234.4699363918658,493.1676339345507,564.6550069837141,587.2077990663095,1765.2576790989808,7215.768915530239,1650.5263462286482,45.87492852448707,10.743958242582597
1479005938831265179,64.0,4.1588830833596715,32.0,Entire home/apt,2,2,Pomarolo,22144,4316.014461102025,104.37278105936434,851.3500539364992,3534.304188656622,60.84209273721099,1808.866849718349,639.8294143546099,871.9231521647642,758.2629362506987,798.1006991942677,725.456904771321,2008.723565319625,45.92500769353791,11.052807661708185
1479095622105126170,53.0,3.970291913552122,13.25,Entire home/apt,4,3,Castel Ivano,22240,8678.340225541404,797.1515055176916,208.38877129542817,1755.581806917605,241.65479375626705,729.044265716809,174.16265258613103,281.5428520885238,844.6825960956088,192.86057324070245,942.7745337977501,1165.4964533957782,46.06477,11.52601
1479105468436160025,121.0,4.795790545596741,30.25,Entire home/apt,4,3,Nago-Torbole,22124,10512.641262745614,201.86119617516275,461.0567661799552,3303.92475365785,510.116261411954,2781.4553353310093,545.3548388639001,245.23143932250875,604.9351809574416,607.3999802508653,602.0523756274687,2992.8206451026795,45.87592,10.87878
1479515470155193673,70.0,4.248495242049359,17.5,Entire home/apt,4,1,Pieve Tesino,22142,3734.8729808639123,2180.1667048153263,3089.489380952015,8514.586984985997,2547.3890326930195,5806.694058314268,2270.5020912579753,943.2810676766675,2261.736425973806,3259.9677827788696,7256.9519773134425,3099.952209607204,46.0967844,11.6028691
